100	Autobahngebühren
11111	Zuschläge
999EK	Vorlageartikel Einkauf
999FT	Vorlageartikel Fertigungsartikel
100023	Blau eloxieren
100024	Halbfertigteil Eloxal blau
100025	Schwarz eloxieren
100026	Halbfertigteil Eloxal schwarz
100027	Rot eloxieren
100028	Halbfertigteil Eloxal rot
100029	Dummyartikel für Stücklisten
100030	Halbfertigteil HART-COAT
100031	HART-COAT + HWNV
100042	Zusatzteile für Roboter A2
100047	Halbfertigteil Blau Verzinken
100048	Blau Verzinken
100049	Halbfertigteil Gelb Verzinken
100050	Gelb Verzinken
100051	Halbfertigteil Eloxal Farblos
100052	Farblos eloxieren
100053	Versorgungstation
100054	Halbfertigteil GESI Beschichtung
100055	Precote 30-3-8 -gelb
100056	Anschweißhülse für Lambdasonde
100057	Halbfertigteil Brünieren
100058	Brünieren
100059	Formbezogener Sprüh- und Blaskop
100060	Formbezogener Sprüh- und Blaskop
100061	Formbezogener Sprüh- und Blaskop
100062	Instandsetzung Steuerung
100065	Instandsetzung Steuerung
100066	Dummyartikel für Kalkulation
100067	Sprühkopf 390-997020
100068	Sprühkopf Mittelteil 390-997022
100069	Halbfertigteil Eloxal Gold
100070	Gold eloxieren
100071	Sprühsystem ident. zu 905-000401
100072	RobotStudio, 1 Jahres-Lizenz
100073	Zuschnitt
100074	Zwischenplatte
100075	Softwareanpassung
100076	Instandsetzung Steuerung SINUM.
100077	Instandsetzung Steuerung SINUM.
100078	Halbfertigteil Beizen schwarz
100079	Schwarz beizen
100080	Plattenzuschnitt
100081	Plattenzuschnitt
100082	Dosieranlage 2- 20%
100083	Formbezogener Sprühkopf
100084	Formbezogener Sprühkopf
100085	Kalkulation_Ersatzteile
100086	Softwareanpassung
100087	Versatzstück
100089	UL-Zertifizierung
100090	Instandsetzung Steuerung
100091	Instandsetzung Steuerung
100092	Dichtring 25 - U094242
100093	Zuschnitt 1.2316 S
100094	VA Buchsen Einsätze Grundkörper
100095	Verteiler aus Kunststoff
100096	Div. Stahlteile, blau verzinken
100100	Instandsetzung Steuerung
100101	Montage,Inbetriebnahme,Schulung
100104	Härten
100105	Halbfertigteil Härten
100106	Inbetriebn.Kom.1618 bei GERLIEVA
100107	Inbetriebn.Kom.1618: HANDTMANN
100110	Instandsetzung Steuerung
100111	Bodenblech 150L Behälter
100112	Datensätze NC und PLC
100113	Elektrokasten GS 1200/1600T
100114	Zuschnitt
100115	Überlastrelais für Motorschutz
100116	Einzelaufstellungsträger S2
100117	Hinterkernsprühen im Ver.Schr.
100118	Montage Schlauchpaket
100119	Nacharbeit Düsenplatte
100120	Düsenplatte
100121	
100122	Lupberger Zuschnitt für Spanflug
100123	Programmänderung
100124	"Feder für Rückschlagventil G1/2"""
100125	Hinterkernsprühen im Ver.Schr.
100126	Zuschnitt 1.2316 S 100x20x302
100127	Zuschnitt 1.2316 S 302x26x435mm
100128	Zuschnitt 1.2316 S 302x21x415mm
100129	Zuschnitt 1.2316 S 302x26x112mm
100130	VA-Flach 100x25
125-BH	Backe_Hinten
125-BV	Backe_Vorn
6B-ST1	Anschlußplatine
033-N81	Schwenkb. Winkelverschraubung
303-KSM	Mutter für Kreis-Segment-Düse
6B-1409	Anbaugerätestecker
6B-1433	Einbausteckdose 500V 50/60 Hz
6B-1517	Stecker 500V 50/60 Hz
6B-1550	CEEform-Kupplungsdose
6B-2027	Kupplungsdose 500 V / 32 A
6B-20M2	Schlitzmutter
6B-2386	Wandgerätestecker 500 V / 32 A
6B-4899	D-Sub Gehäuse 9 pol
6E-TM_1	Thermistorschutz
040-64TS	Trennsteg für Energiekette
056-0008	Blickle Apparate-Lenkrolle
056-0009	Blickle Apparate-Bockrolle
056-0010	Blickle Stahlblech-Lenkrolle
056-0011	Blickle Stahlblech-Bockrolle
056-0012	Blickle Apparate-Lenkrolle
056-0013	Blickle Stahlblech-Lenkrolle
056-0014	Blickle Stahlblech-Schwerlast-
056-0015	Blickle Stahlblech-Lenkrolle
056-0016	Blickle Stahlblech-Bockrolle
056-0017	Blickle  Stahlblech-Bockrollen
056-0018	Blickle  Stahlblech-Lenkrollen
056-0019	Blickle Apparate-Bockrolle
056-0020	Blickle Apparate-Lenkrolle
056-0021	Blickle Lenkrolle
072-2900	Ausgleichskupplung
234-1001	"Dichtring G 1/8"""
467-TEST	Trennstoff-Mengenerfassung
6B-15306	Steckdose frz.-Ausführung
6B-17537	Sicherungseinsatz
6B-30909	Universal-Winkelverschr. 90°
6E-CA080	Alu-Gehäuse
80-NZS/1	S80-NZS/1
80-NZS/2	S80-NZS/2
001-01010	Push-Lok Montageöl
001-01012	Fuchs-Renep Bettbahnöl
